Date,Year,Quarter,QuarterLabel,Month,MonthName,MonthShort,YearMonth,Day,Weekday,WeekdayName,IsWeekend
2014-05-21,2014,2,Q2 2014,5,May,May,2014-05,21,3,Wednesday,False
2014-05-22,2014,2,Q2 2014,5,May,May,2014-05,22,4,Thursday,False
2014-05-23,2014,2,Q2 2014,5,May,May,2014-05,23,5,Friday,False
2014-05-24,2014,2,Q2 2014,5,May,May,2014-05,24,6,Saturday,True
2014-05-25,2014,2,Q2 2014,5,May,May,2014-05,25,7,Sunday,True
2014-05-26,2014,2,Q2 2014,5,May,May,2014-05,26,1,Monday,False
2014-05-27,2014,2,Q2 2014,5,May,May,2014-05,27,2,Tuesday,False
2014-05-28,2014,2,Q2 2014,5,May,May,2014-05,28,3,Wednesday,False
2014-05-29,2014,2,Q2 2014,5,May,May,2014-05,29,4,Thursday,False
2014-05-30,2014,2,Q2 2014,5,May,May,2014-05,30,5,Friday,False
2014-05-31,2014,2,Q2 2014,5,May,May,2014-05,31,6,Saturday,True
2014-06-01,2014,2,Q2 2014,6,June,Jun,2014-06,1,7,Sunday,True
2014-06-02,2014,2,Q2 2014,6,June,Jun,2014-06,2,1,Monday,False
2014-06-03,2014,2,Q2 2014,6,June,Jun,2014-06,3,2,Tuesday,False
2014-06-04,2014,2,Q2 2014,6,June,Jun,2014-06,4,3,Wednesday,False
2014-06-05,2014,2,Q2 2014,6,June,Jun,2014-06,5,4,Thursday,False
2014-06-06,2014,2,Q2 2014,6,June,Jun,2014-06,6,5,Friday,False
2014-06-07,2014,2,Q2 2014,6,June,Jun,2014-06,7,6,Saturday,True
2014-06-08,2014,2,Q2 2014,6,June,Jun,2014-06,8,7,Sunday,True
2014-06-09,2014,2,Q2 2014,6,June,Jun,2014-06,9,1,Monday,False
2014-06-10,2014,2,Q2 2014,6,June,Jun,2014-06,10,2,Tuesday,False
2014-06-11,2014,2,Q2 2014,6,June,Jun,2014-06,11,3,Wednesday,False
2014-06-12,2014,2,Q2 2014,6,June,Jun,2014-06,12,4,Thursday,False
2014-06-13,2014,2,Q2 2014,6,June,Jun,2014-06,13,5,Friday,False
2014-06-14,2014,2,Q2 2014,6,June,Jun,2014-06,14,6,Saturday,True
2014-06-15,2014,2,Q2 2014,6,June,Jun,2014-06,15,7,Sunday,True
2014-06-16,2014,2,Q2 2014,6,June,Jun,2014-06,16,1,Monday,False
2014-06-17,2014,2,Q2 2014,6,June,Jun,2014-06,17,2,Tuesday,False
2014-06-18,2014,2,Q2 2014,6,June,Jun,2014-06,18,3,Wednesday,False
2014-06-19,2014,2,Q2 2014,6,June,Jun,2014-06,19,4,Thursday,False
2014-06-20,2014,2,Q2 2014,6,June,Jun,2014-06,20,5,Friday,False
2014-06-21,2014,2,Q2 2014,6,June,Jun,2014-06,21,6,Saturday,True
2014-06-22,2014,2,Q2 2014,6,June,Jun,2014-06,22,7,Sunday,True
2014-06-23,2014,2,Q2 2014,6,June,Jun,2014-06,23,1,Monday,False
2014-06-24,2014,2,Q2 2014,6,June,Jun,2014-06,24,2,Tuesday,False
2014-06-25,2014,2,Q2 2014,6,June,Jun,2014-06,25,3,Wednesday,False
2014-06-26,2014,2,Q2 2014,6,June,Jun,2014-06,26,4,Thursday,False
2014-06-27,2014,2,Q2 2014,6,June,Jun,2014-06,27,5,Friday,False
2014-06-28,2014,2,Q2 2014,6,June,Jun,2014-06,28,6,Saturday,True
2014-06-29,2014,2,Q2 2014,6,June,Jun,2014-06,29,7,Sunday,True
2014-06-30,2014,2,Q2 2014,6,June,Jun,2014-06,30,1,Monday,False
2014-07-01,2014,3,Q3 2014,7,July,Jul,2014-07,1,2,Tuesday,False
2014-07-02,2014,3,Q3 2014,7,July,Jul,2014-07,2,3,Wednesday,False
2014-07-03,2014,3,Q3 2014,7,July,Jul,2014-07,3,4,Thursday,False
2014-07-04,2014,3,Q3 2014,7,July,Jul,2014-07,4,5,Friday,False
2014-07-05,2014,3,Q3 2014,7,July,Jul,2014-07,5,6,Saturday,True
2014-07-06,2014,3,Q3 2014,7,July,Jul,2014-07,6,7,Sunday,True
2014-07-07,2014,3,Q3 2014,7,July,Jul,2014-07,7,1,Monday,False
2014-07-08,2014,3,Q3 2014,7,July,Jul,2014-07,8,2,Tuesday,False
2014-07-09,2014,3,Q3 2014,7,July,Jul,2014-07,9,3,Wednesday,False
2014-07-10,2014,3,Q3 2014,7,July,Jul,2014-07,10,4,Thursday,False
2014-07-11,2014,3,Q3 2014,7,July,Jul,2014-07,11,5,Friday,False
2014-07-12,2014,3,Q3 2014,7,July,Jul,2014-07,12,6,Saturday,True
2014-07-13,2014,3,Q3 2014,7,July,Jul,2014-07,13,7,Sunday,True
2014-07-14,2014,3,Q3 2014,7,July,Jul,2014-07,14,1,Monday,False
2014-07-15,2014,3,Q3 2014,7,July,Jul,2014-07,15,2,Tuesday,False
2014-07-16,2014,3,Q3 2014,7,July,Jul,2014-07,16,3,Wednesday,False
2014-07-17,2014,3,Q3 2014,7,July,Jul,2014-07,17,4,Thursday,False
2014-07-18,2014,3,Q3 2014,7,July,Jul,2014-07,18,5,Friday,False
2014-07-19,2014,3,Q3 2014,7,July,Jul,2014-07,19,6,Saturday,True
2014-07-20,2014,3,Q3 2014,7,July,Jul,2014-07,20,7,Sunday,True
2014-07-21,2014,3,Q3 2014,7,July,Jul,2014-07,21,1,Monday,False
2014-07-22,2014,3,Q3 2014,7,July,Jul,2014-07,22,2,Tuesday,False
2014-07-23,2014,3,Q3 2014,7,July,Jul,2014-07,23,3,Wednesday,False
2014-07-24,2014,3,Q3 2014,7,July,Jul,2014-07,24,4,Thursday,False
2014-07-25,2014,3,Q3 2014,7,July,Jul,2014-07,25,5,Friday,False
2014-07-26,2014,3,Q3 2014,7,July,Jul,2014-07,26,6,Saturday,True
2014-07-27,2014,3,Q3 2014,7,July,Jul,2014-07,27,7,Sunday,True
2014-07-28,2014,3,Q3 2014,7,July,Jul,2014-07,28,1,Monday,False
2014-07-29,2014,3,Q3 2014,7,July,Jul,2014-07,29,2,Tuesday,False
2014-07-30,2014,3,Q3 2014,7,July,Jul,2014-07,30,3,Wednesday,False
2014-07-31,2014,3,Q3 2014,7,July,Jul,2014-07,31,4,Thursday,False
2014-08-01,2014,3,Q3 2014,8,August,Aug,2014-08,1,5,Friday,False
2014-08-02,2014,3,Q3 2014,8,August,Aug,2014-08,2,6,Saturday,True
2014-08-03,2014,3,Q3 2014,8,August,Aug,2014-08,3,7,Sunday,True
2014-08-04,2014,3,Q3 2014,8,August,Aug,2014-08,4,1,Monday,False
2014-08-05,2014,3,Q3 2014,8,August,Aug,2014-08,5,2,Tuesday,False
2014-08-06,2014,3,Q3 2014,8,August,Aug,2014-08,6,3,Wednesday,False
2014-08-07,2014,3,Q3 2014,8,August,Aug,2014-08,7,4,Thursday,False
2014-08-08,2014,3,Q3 2014,8,August,Aug,2014-08,8,5,Friday,False
2014-08-09,2014,3,Q3 2014,8,August,Aug,2014-08,9,6,Saturday,True
2014-08-10,2014,3,Q3 2014,8,August,Aug,2014-08,10,7,Sunday,True
2014-08-11,2014,3,Q3 2014,8,August,Aug,2014-08,11,1,Monday,False
2014-08-12,2014,3,Q3 2014,8,August,Aug,2014-08,12,2,Tuesday,False
2014-08-13,2014,3,Q3 2014,8,August,Aug,2014-08,13,3,Wednesday,False
2014-08-14,2014,3,Q3 2014,8,August,Aug,2014-08,14,4,Thursday,False
2014-08-15,2014,3,Q3 2014,8,August,Aug,2014-08,15,5,Friday,False
2014-08-16,2014,3,Q3 2014,8,August,Aug,2014-08,16,6,Saturday,True
2014-08-17,2014,3,Q3 2014,8,August,Aug,2014-08,17,7,Sunday,True
2014-08-18,2014,3,Q3 2014,8,August,Aug,2014-08,18,1,Monday,False
2014-08-19,2014,3,Q3 2014,8,August,Aug,2014-08,19,2,Tuesday,False
2014-08-20,2014,3,Q3 2014,8,August,Aug,2014-08,20,3,Wednesday,False
2014-08-21,2014,3,Q3 2014,8,August,Aug,2014-08,21,4,Thursday,False
2014-08-22,2014,3,Q3 2014,8,August,Aug,2014-08,22,5,Friday,False
2014-08-23,2014,3,Q3 2014,8,August,Aug,2014-08,23,6,Saturday,True
2014-08-24,2014,3,Q3 2014,8,August,Aug,2014-08,24,7,Sunday,True
2014-08-25,2014,3,Q3 2014,8,August,Aug,2014-08,25,1,Monday,False
2014-08-26,2014,3,Q3 2014,8,August,Aug,2014-08,26,2,Tuesday,False
2014-08-27,2014,3,Q3 2014,8,August,Aug,2014-08,27,3,Wednesday,False
2014-08-28,2014,3,Q3 2014,8,August,Aug,2014-08,28,4,Thursday,False
2014-08-29,2014,3,Q3 2014,8,August,Aug,2014-08,29,5,Friday,False
2014-08-30,2014,3,Q3 2014,8,August,Aug,2014-08,30,6,Saturday,True
2014-08-31,2014,3,Q3 2014,8,August,Aug,2014-08,31,7,Sunday,True
2014-09-01,2014,3,Q3 2014,9,September,Sep,2014-09,1,1,Monday,False
2014-09-02,2014,3,Q3 2014,9,September,Sep,2014-09,2,2,Tuesday,False
2014-09-03,2014,3,Q3 2014,9,September,Sep,2014-09,3,3,Wednesday,False
2014-09-04,2014,3,Q3 2014,9,September,Sep,2014-09,4,4,Thursday,False
2014-09-05,2014,3,Q3 2014,9,September,Sep,2014-09,5,5,Friday,False
2014-09-06,2014,3,Q3 2014,9,September,Sep,2014-09,6,6,Saturday,True
2014-09-07,2014,3,Q3 2014,9,September,Sep,2014-09,7,7,Sunday,True
2014-09-08,2014,3,Q3 2014,9,September,Sep,2014-09,8,1,Monday,False
2014-09-09,2014,3,Q3 2014,9,September,Sep,2014-09,9,2,Tuesday,False
2014-09-10,2014,3,Q3 2014,9,September,Sep,2014-09,10,3,Wednesday,False
2014-09-11,2014,3,Q3 2014,9,September,Sep,2014-09,11,4,Thursday,False
2014-09-12,2014,3,Q3 2014,9,September,Sep,2014-09,12,5,Friday,False
2014-09-13,2014,3,Q3 2014,9,September,Sep,2014-09,13,6,Saturday,True
2014-09-14,2014,3,Q3 2014,9,September,Sep,2014-09,14,7,Sunday,True
2014-09-15,2014,3,Q3 2014,9,September,Sep,2014-09,15,1,Monday,False
2014-09-16,2014,3,Q3 2014,9,September,Sep,2014-09,16,2,Tuesday,False
2014-09-17,2014,3,Q3 2014,9,September,Sep,2014-09,17,3,Wednesday,False
2014-09-18,2014,3,Q3 2014,9,September,Sep,2014-09,18,4,Thursday,False
2014-09-19,2014,3,Q3 2014,9,September,Sep,2014-09,19,5,Friday,False
2014-09-20,2014,3,Q3 2014,9,September,Sep,2014-09,20,6,Saturday,True
2014-09-21,2014,3,Q3 2014,9,September,Sep,2014-09,21,7,Sunday,True
2014-09-22,2014,3,Q3 2014,9,September,Sep,2014-09,22,1,Monday,False
2014-09-23,2014,3,Q3 2014,9,September,Sep,2014-09,23,2,Tuesday,False
2014-09-24,2014,3,Q3 2014,9,September,Sep,2014-09,24,3,Wednesday,False
2014-09-25,2014,3,Q3 2014,9,September,Sep,2014-09,25,4,Thursday,False
2014-09-26,2014,3,Q3 2014,9,September,Sep,2014-09,26,5,Friday,False
2014-09-27,2014,3,Q3 2014,9,September,Sep,2014-09,27,6,Saturday,True
2014-09-28,2014,3,Q3 2014,9,September,Sep,2014-09,28,7,Sunday,True
2014-09-29,2014,3,Q3 2014,9,September,Sep,2014-09,29,1,Monday,False
2014-09-30,2014,3,Q3 2014,9,September,Sep,2014-09,30,2,Tuesday,False
2014-10-01,2014,4,Q4 2014,10,October,Oct,2014-10,1,3,Wednesday,False
2014-10-02,2014,4,Q4 2014,10,October,Oct,2014-10,2,4,Thursday,False
2014-10-03,2014,4,Q4 2014,10,October,Oct,2014-10,3,5,Friday,False
2014-10-04,2014,4,Q4 2014,10,October,Oct,2014-10,4,6,Saturday,True
2014-10-05,2014,4,Q4 2014,10,October,Oct,2014-10,5,7,Sunday,True
2014-10-06,2014,4,Q4 2014,10,October,Oct,2014-10,6,1,Monday,False
2014-10-07,2014,4,Q4 2014,10,October,Oct,2014-10,7,2,Tuesday,False
2014-10-08,2014,4,Q4 2014,10,October,Oct,2014-10,8,3,Wednesday,False
2014-10-09,2014,4,Q4 2014,10,October,Oct,2014-10,9,4,Thursday,False
2014-10-10,2014,4,Q4 2014,10,October,Oct,2014-10,10,5,Friday,False
2014-10-11,2014,4,Q4 2014,10,October,Oct,2014-10,11,6,Saturday,True
2014-10-12,2014,4,Q4 2014,10,October,Oct,2014-10,12,7,Sunday,True
2014-10-13,2014,4,Q4 2014,10,October,Oct,2014-10,13,1,Monday,False
2014-10-14,2014,4,Q4 2014,10,October,Oct,2014-10,14,2,Tuesday,False
2014-10-15,2014,4,Q4 2014,10,October,Oct,2014-10,15,3,Wednesday,False
2014-10-16,2014,4,Q4 2014,10,October,Oct,2014-10,16,4,Thursday,False
2014-10-17,2014,4,Q4 2014,10,October,Oct,2014-10,17,5,Friday,False
2014-10-18,2014,4,Q4 2014,10,October,Oct,2014-10,18,6,Saturday,True
2014-10-19,2014,4,Q4 2014,10,October,Oct,2014-10,19,7,Sunday,True
2014-10-20,2014,4,Q4 2014,10,October,Oct,2014-10,20,1,Monday,False
2014-10-21,2014,4,Q4 2014,10,October,Oct,2014-10,21,2,Tuesday,False
2014-10-22,2014,4,Q4 2014,10,October,Oct,2014-10,22,3,Wednesday,False
2014-10-23,2014,4,Q4 2014,10,October,Oct,2014-10,23,4,Thursday,False
2014-10-24,2014,4,Q4 2014,10,October,Oct,2014-10,24,5,Friday,False
2014-10-25,2014,4,Q4 2014,10,October,Oct,2014-10,25,6,Saturday,True
2014-10-26,2014,4,Q4 2014,10,October,Oct,2014-10,26,7,Sunday,True
2014-10-27,2014,4,Q4 2014,10,October,Oct,2014-10,27,1,Monday,False
2014-10-28,2014,4,Q4 2014,10,October,Oct,2014-10,28,2,Tuesday,False
2014-10-29,2014,4,Q4 2014,10,October,Oct,2014-10,29,3,Wednesday,False
2014-10-30,2014,4,Q4 2014,10,October,Oct,2014-10,30,4,Thursday,False
2014-10-31,2014,4,Q4 2014,10,October,Oct,2014-10,31,5,Friday,False
2014-11-01,2014,4,Q4 2014,11,November,Nov,2014-11,1,6,Saturday,True
2014-11-02,2014,4,Q4 2014,11,November,Nov,2014-11,2,7,Sunday,True
2014-11-03,2014,4,Q4 2014,11,November,Nov,2014-11,3,1,Monday,False
2014-11-04,2014,4,Q4 2014,11,November,Nov,2014-11,4,2,Tuesday,False
2014-11-05,2014,4,Q4 2014,11,November,Nov,2014-11,5,3,Wednesday,False
2014-11-06,2014,4,Q4 2014,11,November,Nov,2014-11,6,4,Thursday,False
2014-11-07,2014,4,Q4 2014,11,November,Nov,2014-11,7,5,Friday,False
2014-11-08,2014,4,Q4 2014,11,November,Nov,2014-11,8,6,Saturday,True
